DATE,DEFAULT SPREAD
2014-08-29,2.23
2014-09-01,.
2014-09-02,2.25
2014-09-03,2.24
2014-09-04,2.25
2014-09-05,2.29
2014-09-08,2.26
2014-09-09,2.25
2014-09-10,2.26
2014-09-11,2.25
2014-09-12,2.27
2014-09-15,2.28
2014-09-16,2.30
2014-09-17,2.29
2014-09-18,2.28
2014-09-19,2.26
2014-09-22,2.27
2014-09-23,2.26
2014-09-24,2.27
2014-09-25,2.27
2014-09-26,2.27
2014-09-29,2.27
2014-09-30,2.29
2014-10-01,2.31
2014-10-02,2.32
2014-10-03,2.29
2014-10-06,2.30
2014-10-07,2.30
2014-10-08,2.32
2014-10-09,2.34
2014-10-10,2.36
2014-10-13,.
2014-10-14,2.39
2014-10-15,2.44
2014-10-16,2.47
2014-10-17,2.44
2014-10-20,2.45
2014-10-21,2.43
2014-10-22,2.42
2014-10-23,2.42
2014-10-24,2.43
2014-10-27,2.44
2014-10-28,2.43
2014-10-29,2.36
2014-10-30,2.39
2014-10-31,2.39
2014-11-03,2.39
2014-11-04,2.39
2014-11-05,2.39
2014-11-06,2.40
2014-11-07,2.43
2014-11-10,2.41
2014-11-11,.
2014-11-12,2.43
2014-11-13,2.47
2014-11-14,2.48
2014-11-17,2.49
2014-11-18,2.52
2014-11-19,2.51
2014-11-20,2.52
2014-11-21,2.49
2014-11-24,2.50
2014-11-25,2.46
2014-11-26,2.47
2014-11-27,.
2014-11-28,2.52
2014-12-01,2.54
2014-12-02,2.54
2014-12-03,2.52
2014-12-04,2.53
2014-12-05,2.48
2014-12-08,2.48
2014-12-09,2.51
2014-12-10,2.53
2014-12-11,2.53
2014-12-12,2.58
2014-12-15,2.56
2014-12-16,2.60
2014-12-17,2.60
2014-12-18,2.56
2014-12-19,2.56
2014-12-22,2.53
2014-12-23,2.53
2014-12-24,2.50
2014-12-25,.
2014-12-26,2.50
2014-12-29,2.49
2014-12-30,2.49
2014-12-31,2.51
2015-01-01,.
2015-01-02,2.51
2015-01-05,2.52
2015-01-06,2.52
2015-01-07,2.53
2015-01-08,2.54
2015-01-09,2.55
2015-01-12,2.55
2015-01-13,2.55
2015-01-14,2.58
2015-01-15,2.65
2015-01-16,2.62
2015-01-19,.
2015-01-20,2.61
2015-01-21,2.59
2015-01-22,2.59
2015-01-23,2.60
2015-01-26,2.58
2015-01-27,2.59
2015-01-28,2.59
2015-01-29,2.58
2015-01-30,2.61
2015-02-02,2.61
2015-02-03,2.61
2015-02-04,2.60
